---------------------------------------------------------------------------------------------------------------
                                                         |                      Nationality                    
                                                         |  Danish   Dutch   English   French   Spanish   Total
---------------------------------------------------------+-----------------------------------------------------
War involving own nation                                 |                                                     
  Mean                                                   |    0.00    0.01      0.35     0.06      0.35    0.22
  Median                                                 |    0.00    0.00      0.00     0.00      0.00    0.00
  Standard deviation                                     |    0.00    0.10      0.48     0.24      0.49    0.41
  Number of nonmissing values                            |       5     101       214       50        17     387
Neutrality of own nation                                 |                                                     
  Mean                                                   |    1.00    0.50      0.10     0.48      0.00    0.26
  Median                                                 |    1.00    0.00      0.00     0.00      0.00    0.00
  Standard deviation                                     |    0.00    0.50      0.30     0.50      0.00    0.44
  Number of nonmissing values                            |       5     101       214       50        17     387
Big African slave-trading port                           |                                                     
  Mean                                                   |    0.00    0.27      0.52     0.49      0.24    0.43
  Median                                                 |    0.00    0.00      1.00     0.50      0.00    0.00
  Standard deviation                                     |    0.00    0.44      0.50     0.45      0.44    0.49
  Number of nonmissing values                            |       5     101       214       50        17     387
Total net expenditure in kg of silver for the whole ship |                                                     
  Mean                                                   |     761     752       649    1,040     1,716     775
  Median                                                 |     677     681       546      991     1,701     639
  Standard deviation                                     |     192     224       457      525       481     480
  Minimum value                                          |     556     455       111       61     1,038      61
  Maximum value                                          |     967   1,383     3,492    2,306     2,446   3,492
  Number of nonmissing values                            |       5     101       214       50        17     387
Tonnage standardized on British measured tons, 1773-1835 |                                                     
  Mean                                                   |       .     326       181      244         .     229
  Median                                                 |             316       182      254               218
  Standard deviation                                     |       .      80        69       75         .      97
  Minimum value                                          |       .     192        44       60         .      44
  Maximum value                                          |       .     497       501      365         .     501
  Number of nonmissing values                            |       0      95       201       28         0     324
At least one first voyage of the outfitter               |                                                     
  Mean                                                   |    1.00    0.03      0.19     0.28      0.41    0.18
  Median                                                 |    1.00    0.00      0.00     0.00      0.00    0.00
  Standard deviation                                     |    0.00    0.17      0.39     0.45      0.51    0.39
  Number of nonmissing values                            |       5     101       214       50        17     387
At least one first voyage of the captain                 |                                                     
  Mean                                                   |    1.00    0.30      0.17     0.60      0.47    0.28
  Median                                                 |    1.00    0.00      0.00     1.00      0.00    0.00
  Standard deviation                                     |    0.00    0.46      0.38     0.49      0.51    0.45
  Number of nonmissing values                            |       5     101       214       50        17     387
---------------------------------------------------------------------------------------------------------------
